place,claims,placementBasis
Governor of Kii's Mansion,C30,"East, in the vicinity of the Nakagawa River (Ch2 p.38); reference point = the Minister of the Left's Sanjō residence."
Hanachirusato's villa (the scattering orange blossoms),C36,"EDITORIAL: no street given; weak eastward constraint only (reached via the Nakagawa crossing, Ch11 p.223). One site, three labels."
Hasedera (the Hatsuse Kannon temple),R22,Above Tsubaichi at the base of Mount Miwa; four days on foot from the capital (Ch22 p.414); real temple.
Higekuro's residence,C13 (indirect),"No placement of its own; likely the same house as Tamakazura's later residence (col G note) — INFERRED_SAME_SITE, flag for review."
Home of Genji's Grandmother,—,EDITORIAL: no placement in text (Ch1).
Home of the Bishop of Kitayama,R01,A short distance away in the recesses of the mountains north of the capital' (Ch5 p.84).
Home of the Warden's Lady,—,EDITORIAL: rainy-night anecdote setting; no placement.
House of the Finger Biting Lady,—,EDITORIAL: rainy-night anecdote setting; no placement.
"Kaoru's Sanjō residence (the Third Princess's, rebuilt)","C10,C11,C12","Suzaku's bequeathed Sanjō villa (Ch36 p.681), rebuilt after the Ch46 fire; close to / in sight of the Nijō villa (Ch48 pp.934–935) — hence same x-column as Nijō."
Koremitsu's Mother's House on Gojō,C15,On Gojō (Ch4 p.55).
Koremitsu's residence,—,"EDITORIAL: no placement in text (Koremitsu is Governor of Settsu, Ch21 p.392, but resides in the capital)."
Kōbai's residence,C38,"EDITORIAL: no textual placement (earlier 'east of Tamakazura's' claim withdrawn, row 31 flag); provisionally near the Sanjō cluster pending review."
Lady Rokujō's mansion,C21,"On Rokujō... lower district near Kyōgoku on the eastern outskirts' (Ch14 p.297); one site, three labels."
Lady Rokujō's residence (Rokujō),C21,"On Rokujō... lower district near Kyōgoku on the eastern outskirts' (Ch14 p.297); one site, three labels."
Naniwa (Tamino Island),R31,Naniwa waterways (Ch14 p.293).
Naniwa (the Akashi Lady's boat),R31,Naniwa waterways (Ch14 p.291).
Naniwa (the Horie canal),R31,Naniwa waterways (Ch14 p.292).
Naniwa (the inlet),R31,Naniwa waterways (Ch14 p.293).
Nijō (Genji's villa),"C02,C03",On Nijō Avenue at the Tōin corner (Ch1 p.19; Ch10 p.197).
Nokiba no Ogi's marital home,—,EDITORIAL: no placement in text (Ch4 p.81).
On the Uji River (the boat to the Isle of Tachibana),R23,"River-crossing segment, near bank → Isle of Tachibana → far bank (Ch51 p.1059)."
"On the journey to Suma (the ruined Ōe villa, Yodo River)","R24,R25","On the Yodo-River boat leg, Fushimi → Naniwa (Ch12 p.236)."
Outside the Uji villa (Niou's failed night visit),R17,Near-bank approach to the villa (Ch51 p.1080).
Princess Asagao's residence,C26,Same lady's home (Ch9); rendered at the Momozono node.
Seiryōden,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
Suma (Genji's villa in exile),"R24,R26","Thirty miles by sea beyond Naniwa (Ch12 p.236); in Settsu (inferred, Ch12 p.237)."
Sumiyoshi Shrine,R30,In nearby Naniwa (present-day Osaka)' (Ch12 p.249 note); real shrine.
Suzaku's mountain temple (his retreat),R40,The hills west of the capital' (Ch34 p.566).
Tamakazura's residence,C13,Close to the Third Princess's villa on Sanjō' (Ch44 p.801).
The Akashi Lady's villa (foot of the hills),R27,"Inland, at the foot of the hills on the same estate (Ch13 p.269)."
The Akashi villa (Genji's seaside residence),"R27,R28","The bay at Akashi, Harima Province (Ch5 p.85); short crossing from Suma (Ch13 p.257)."
The Chinese Scholar's Daughter's House,—,EDITORIAL: rainy-night anecdote setting; no placement.
The Crown Prince's quarters at the palace,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Fujitsubo (the Second Princess's palace quarters),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Gosechi dancer's barge (passing Suma),R24,"Offshore, passing Suma (Ch12 p.246)."
The Hitachi villa,C34,On the traveled road between Nijō and the Reikeiden villa (Ch15 p.308); no street named.
The Hitachi villa (Suetsumuhana's ruined estate),C34,On the traveled road between Nijō and the Reikeiden villa (Ch15 p.308); no street named.
The Ichijō villa (the Second Princess's residence),C27,"On Ichijō (Ch36 pp.686, 690)."
The Ise Shrine,R13,Real shrine; schematic east-line terminus because the tale's Ise route exits via Ōsaka (Ch10 p.197). NOTE: geographically Ise lies far southeast; the subway-map convention follows the text's route.
The Ise departure procession (passing Genji's Nijō villa),C32,Point on the Tōin boulevard segment just past the Nijō villa (Ch10 p.197).
The Kamo Festival (the viewing ground),C28,Segment point along Ichijō Avenue (Ch9 p.163).
The Kamo Festival procession,R03,Segment point on the route to the Kamo River Purification (Ch33 p.558).
The Kamo Shrine,R03,"Kamo Shrine, very near the Urin'in (Ch10 p.207); real site."
The Kamo Shrine (Tadasu Woods),R03,Lower Kamo Shrine at the Tadasu Woods; real site (Ch12 p.234).
The Kiritsubo,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Kokiden,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Kokiden Consort's quarters,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor. FLAG: Ch31 scene ambiguous between palace and Tō no Chūjō's residence (see col F note); placed at palace by default.
The Kujō lodging (Tamakazura's residence in the capital),C29,"At Kujō, 'inside the city proper' (Ch22 p.412)."
The Kōrōden,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Late Major Counselor's residence,C07,Close by' Genji's Nijō villa (Ch5 p.110); offset within the Nijō block.
The Minister of the Left's residence,C08,On Sanjō Avenue (Ch1 p.18); one physical mansion across three same-site labels.
The Minister of the Left's residence (Sanjō),C08,On Sanjō Avenue (Ch1 p.18); one physical mansion across three same-site labels.
The Minister of the Right's residence,"C04,C05","On Nijō, directly across the avenue from Genji's villa (Ch10 p.215; Ch34 p.589)."
"The Minister's Uji estate (Yūgiri's, across the river)",R18,Far side of the Uji River (Ch46 p.847).
The Momozono estate (Princess Asagao's residence),C26,Just north of Ichijō' (Ch20 p.360).
The Ono villa (the mountain retreat near Mt. Hiei),R06,"Ono, near the foot of Mount Hiei (Ch39 pp.716–717)."
The Palace,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Reikeiden Consort's villa,C36,"EDITORIAL: no street given; weak eastward constraint only (reached via the Nakagawa crossing, Ch11 p.223). One site, three labels."
The Reikeiden Consort's villa (Hanachirusato's quarters),C36,"EDITORIAL: no street given; weak eastward constraint only (reached via the Nakagawa crossing, Ch11 p.223). One site, three labels."
The Reizei villa (Retired Emperor Reizei's residence),C37,EDITORIAL: no textual placement; provisionally west of the palace approach.
The Retired Emperor's palace (Suzaku's residence),"C39,C25","Traditional identification with the historical Suzakuin (west of Suzaku Ōji) — UNVERIFIED; textual constraint: 'a fair distance' from the Rokujō estate (Ch23 p.437), satisfied west-vs-east."
The Retired Emperor's tomb (hills north of the capital),R04,The hills north of the capital' (Ch12 p.232).
The Rokujō estate (Genji's mansion),"C22,C23",Vicinity of Kyōgoku × Rokujō (Ch21 p.400); four parcels including Lady Rokujō's former villa — drawn overlapping her site.
The Rokujō estate (the First Princess's quarters),C22,Within the Rokujō estate (Ch52).
The Rokujō villa (Lady Rokujō's residence),C21,"On Rokujō... lower district near Kyōgoku on the eastern outskirts' (Ch14 p.297); one site, three labels."
The Sanjō residence (Princess Ōmiya's),C08,On Sanjō Avenue (Ch1 p.18); one physical mansion across three same-site labels.
The Secret Love's residence,C24,In the vicinity of Rokujō and Kyōgoku' (Ch5 p.101).
The Seiryōden (the Emperor's residential palace),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Shishinden (the cherry-blossom banquet),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Suzaku Palace (Retired Emperor Suzaku's residence),"C39,C25","Traditional identification with the historical Suzakuin (west of Suzaku Ōji) — UNVERIFIED; textual constraint: 'a fair distance' from the Rokujō estate (Ch23 p.437), satisfied west-vs-east."
The Uji villa (the Eighth Prince's residence),"R15,R17,R21","Uji, southeast of the capital (Kisen note, Ch45 p.829); on the NEAR bank (Ch45 p.833); the Hatsuse route's break-point (R21)."
"The Umetsubo (Akikonomu's chambers, the plum courtyard)",C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The Urin'in Temple (north of the capital),R02,North of the capital (Ch10 p.206); real temple.
The Vice Governor of Hitachi's residence,—,"EDITORIAL: 'stylish, beautifully appointed residence' (Ch50 p.997) but no street given."
The barrier gate at Ōsaka (Ōsaka no seki),"R10,R13","Ōsaka Pass, between the capital and Lake Biwa (Ch16 p.314 note); the Ise route exits through it (Ch10 p.197)."
The boat departing Akashi,R34,"Embarkation for the Ōi move: sea to Naniwa, road to Ōi (Ch18 p.333)."
The capital (the Middle Captain's residence),—,EDITORIAL: no placement in text.
The former Hitachi Deputy's residence (in the capital),—,EDITORIAL: no placement in text.
The house across the Uji River (the Tachibana hideaway),R23,"Far bank, Governor of Inaba's manor (Ch51 p.1059)."
The household in Hizen Province (Tamakazura's Kyūshū home),R32,"Hizen, Kyūshū terminus of the maritime line (Ch22 p.408)."
The late Retired Emperor's villa,—,EDITORIAL: the late Emperor's retirement villa is given no location in Washburn; provisionally near the palace.
The lustration procession (the carriage quarrel),C28,Segment point along Ichijō Avenue (Ch9 pp.163–164); poem-assignment flag in col G stands.
The mountain temple above Uji (the ascetic's retreat),R19,"In the mountains at Uji, above the villa (Ch45 p.829)."
The nuns' residence at Ono,"R06,R07,R09","Ono, lower slopes of Mt. Hiei (Ch53 p.1127); on the capital–Yokawa path (Ch53 p.1156; Ch54 p.1170); 'a long journey' from Uji (R09)."
The nurse's residence (a ruined estate in the capital),—,EDITORIAL: 'an enormous structure... fallen to ruin' (Ch14 p.284) but unlocated.
The palace,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (Emperor Reizei's residence),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (Fujitsubo's withdrawal),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (Genji's audience with Suzaku),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (Niou's confinement),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (Oborozukiyo's quarters),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (Tamakazura's Shōkyōden quarters),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (the Ceremony of Parting),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (the First Princess's chambers),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (the Gosechi Festival),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (the ladies' picture debate before Fujitsubo),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The palace (the passageway near the Kokiden),C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
The road at Akashi (en route to the Lady's villa),R27,Moonlit shore road between the two Akashi residences (Ch13 p.269).
The road by the Lower Kamo Shrine,R03,Segment point: the shrine sighted 'in the distance' from the road on the exile departure (Ch12 p.234).
The shore at Suma (the purification site),R24,The Suma beach (Ch12 p.252).
The site of Lady Rokujō's healing rites,C21,Same residence as Lady Rokujō's mansion (Ch9 scene set at her home).
The small house near Sanjō (Ukifune's hideaway),C14,In the vicinity of Sanjō' (Ch50 p.1025).
The temporary shrine at Nonomiya (the plains of Sagano),R35,The plains of Sagano (Ch10 pp.192–193).
The Ōi villa (the Akashi Lady's residence near Katsura),"R36,R34","Banks of the Ōi River, 'Ōi in Sagano' (Ch18 p.329; Ch21 p.402); road link to Naniwa (R34)."
The Ōsaka Barrier (the gatehouse at Ōsaka Pass),"R10,R11","Same pass, Ch16 crossing scene; ordered capital → Ōsaka → Uchide → Ishiyama (R11)."
Tō no Chūjō's billet at the palace,C01,Within the Greater Palace compound (render as palace inset); nested in the fixed grid anchor.
Tō no Chūjō's residence,C06,On Nijō (Ch39 p.753); west of Genji's villa by editorial choice within the avenue.
Uji (Niou's maple-viewing excursion),R23,Boats on the river below the villa (Ch47 p.902).
Yūgao's House on Gojō,C16,Immediately west of the nurse's house (Ch4 p.58).
Yūgao's Original House,—,EDITORIAL: anecdote setting (Ch2); no placement.
Ōharano (the imperial excursion),"R39,C33",Real shrine 'in the suburbs west of the capital' (Ch29 p.490); in-city leg via Suzaku Ave → Gojō Ave → Katsura River (C33).
