g.pnum,c.name,r.name,e.evidence,d.evidence
02HH02,House of the Finger Biting Lady,House of the Finger Biting Lady,"Her reply within the same anecdote, in person: she ""burst into tears and shot back"" the verse (Washburn NC p. 29).","Heard by the Warden, present at the house of the Finger-Biting Lady; co-present, same dwelling."
02HH03,Home of the Warden's Lady,Home of the Warden's Lady,"Within the Warden's second anecdote, on the veranda of the woman's house the courtier ""picked some chrysanthemums and composed a poem"" (Washburn NC p. 31). Her house is described — garden, pond, bamboo blinds, an ""open veranda near the inner gate"" (Washburn NC p. 31).","The woman, inside behind the blinds at the Warden's lady's house, ""replied to his brazen bantering"" (Washburn NC pp. 31–32); co-present."
02HH04,Home of the Warden's Lady,Home of the Warden's Lady,"Her reply within the anecdote, composed inside her house: ""The woman replied to his brazen bantering, affecting a disinterested voice"" (Washburn NC p. 32).",Heard by the courtier on her veranda at the Warden's lady's house; co-present.
02HH05,Yūgao's Original House,The Sanjō estate (Princess Ōmiya's),"Within Tō no Chūjō's anecdote, the woman at her home ""sent me a wild pink . . . She sent this poem"" (Washburn NC p. 33); composed at her ""dilapidated house"" (Washburn NC p. 33).","Sent as a message to Tō no Chūjō; Washburn does not state where he received it. Location inferred from context — he keeps ""dazzlingly furnished quarters at his father's residence at Sanjō"" (the Minister of the Left's; Washburn NC p. 20), the likelier place for a private note since the threats against her came from ""my wife's household"" (Washburn NC p. 33)."
02HH06,Yūgao's Original House,Yūgao's Original House,"Within the anecdote, Tō no Chūjō visits her: ""With her verse fresh in my mind, I went to see her,"" and at her house composes the verse (Washburn NC p. 33).","Heard by the woman, present at her house; co-present."
02HH07,Yūgao's Original House,Yūgao's Original House,"Her reply at her house within the anecdote: ""She replied with this"" (Washburn NC p. 33).","Heard by Tō no Chūjō, present; co-present at her house."
02HH08,The Chinese Scholar's Daughter's House,The Chinese Scholar's Daughter's House,"Within the Junior Secretary's anecdote, leaving the learned woman's house because of the garlic smell, he ""sent this poem"" (Washburn NC pp. 35–36). She is a daughter of the scholar at whose academy he studied (Washburn NC p. 35).","Received by the woman, present behind a screen at her house (Washburn NC pp. 35–36); co-present."
02HH09,The Chinese Scholar's Daughter's House,The Chinese Scholar's Daughter's House,"Her quick reply at her house within the anecdote: ""her reply came chasing me down"" (Washburn NC p. 36).",Received by the Secretary as he left her house; co-present.
02HH10,Governor of Kii's Mansion,Governor of Kii's Mansion,"At dawn after their night, in the interior chamber of the Governor of Kii's mansion: ""As the cock crowed again and again . . . He composed a verse"" (Washburn NC p. 43).","Heard by Utsusemi at the Governor of Kii's mansion, whom Genji ""detained . . . for a moment"" at parting; co-present (Washburn NC p. 43)."
02HH11,Governor of Kii's Mansion,Governor of Kii's Mansion,"Utsusemi's dawn reply, composed in person: ""She replied"" (Washburn NC p. 43).","Heard by Genji, present at the Governor of Kii's mansion; co-present."
02HH12,The Sanjō estate (Princess Ōmiya's),Governor of Kii's Mansion,"Composed days later at his father-in-law's house: ""Genji began to spend all of his time at his father-in-law's residence"" (Washburn NC p. 44) — the Minister of the Left's, at Sanjō — where he ""had written a great deal"" (Washburn NC pp. 44–45).","Delivered by the boy Kogimi: ""when he delivered Genji's letter, he was stunned to see tears welling up in his sister's eyes"" (Washburn NC p. 44). Location inferred from context — Washburn does not name where Utsusemi is; she had been lodging at the Governor of Kii's mansion during her household's purification (Washburn NC p. 39), where Genji's next visit again finds her (Washburn NC pp. 46–47)."
02HH13,Governor of Kii's Mansion,Governor of Kii's Mansion,"On a second directional-taboo visit — Genji ""dropped in on the Governor of Kii"" (Washburn NC p. 46) — after Utsusemi eludes him he writes from the guest quarters: ""Is there no way to tell you how I feel?"" he wrote (Washburn NC p. 47).","Carried within the residence to Utsusemi, hiding ""in the quarters of her chief attendant, Chūjō . . . a private part of the residence"" (Washburn NC p. 46); same mansion."
02HH14,Governor of Kii's Mansion,Governor of Kii's Mansion,"Utsusemi, ""unable to sleep,"" replies from her hiding place in Chūjō's quarters at the Kii mansion (Washburn NC p. 47).",Carried back to Genji in the guest quarters of the same residence; same mansion.
03UT01,Nijō (Genji's villa),Governor of Kii's Mansion,"After the failed night Genji ""returned to his villa at Nijō"" (Washburn NC p. 53); unable to sleep, ""He demanded an inkstone be brought at once, and . . . composed a poem"" on folded paper (Washburn NC p. 54).","Delivered by the boy Kogimi: ""The boy took the poem . . . and delivered it to his sister""; ""When the boy arrived at his sister's residence, she was waiting for him"" (Washburn NC p. 54). Location inferred from context — the residence is not named here; it is the Governor of Kii's mansion, where Utsusemi is lodging (Washburn NC pp. 48–49)."
03UT02,Governor of Kii's Mansion,Indeterminate,"Recalling Genji, Utsusemi ""wrote out a poem along the edge of Genji's letter to her"" (Washburn NC p. 55). Composition location inferred from context — her whereabouts are not named here; she is at the Governor of Kii's mansion, where she received his letter (Washburn NC pp. 54–55).",Washburn gives no indication the poem was sent to or received by Genji: she writes it on the edge of his own letter and the narrative moves on (Washburn NC p. 55). Receipt cannot be determined.
04YG01,Yūgao's House on Gojō,Koremitsu's Mother's House on Gojō,"The lady's verse is written on a scented fan sent out from the house next to Genji's nurse's — her own Gojō house: a girl ""handed him a heavily perfumed white fan"" bearing the verse (Washburn NC pp. 56–57).","Genji reads it at his nurse's house, having a ""small wooden hand torch"" brought ""so that he could examine the fan"" (Washburn NC p. 57)."
04YG02,Koremitsu's Mother's House on Gojō,Yūgao's House on Gojō,"Still at his nurse's house, Genji ""pulled out a piece of folded paper . . . set down his reply"" and handed it to the guard (Washburn NC p. 58).","Carried to the lady's house, where her attendants debated until the guard ""went back to Genji empty-handed"" (Washburn NC p. 58)."
04YG03,Lady Rokujō's residence (Rokujō),Lady Rokujō's residence (Rokujō),"One foggy morning leaving Rokujō, Genji seats the lady-in-waiting on the veranda railing: ""He took her hand and composed the following"" (Washburn NC p. 61).","Spoken to the lady-in-waiting, present, who ""skillfully parried his poem"" on the spot (Washburn NC p. 61)."
04YG04,Lady Rokujō's residence (Rokujō),Lady Rokujō's residence (Rokujō),"Her reply in person at Rokujō: she ""skillfully parried his poem by taking it to refer to her mistress"" (Washburn NC p. 61).","Heard by Genji, present; co-present at Lady Rokujō's mansion."
04YG05,Yūgao's House on Gojō,Yūgao's House on Gojō,"At dawn on the Harvest-Moon night, ""Moonlight streamed in . . . illuminating every corner of the woman's residence"" (Washburn NC p. 65); moved by a pilgrim's prayers, ""Powerful emotions prompted him to compose a verse"" (Washburn NC p. 66).","Spoken to Yūgao, present; co-present at her Gojō house (Washburn NC p. 66)."
04YG06,Yūgao's House on Gojō,Yūgao's House on Gojō,"Her doubtful reply at her residence: she ""thought that future vows were too extravagant"" (Washburn NC p. 66).","Heard by Genji, present at Yūgao's house on Gojō; co-present."
04YG07,An Untenanted Mansion,An Untenanted Mansion,"At the deserted riverside villa, gazing at the ferns under the weathered gate, ""His feeling prompted the following"" (Washburn NC p. 67).","Spoken to Yūgao, present at the untenanted mansion; co-present at the villa (Washburn NC p. 67)."
04YG08,An Untenanted Mansion,An Untenanted Mansion,"Her reply at the villa: ""The woman blushed, then replied"" (Washburn NC p. 67).","Heard by Genji, present at the untenanted mansion; co-present."
04YG09,An Untenanted Mansion,An Untenanted Mansion,"Later, uncovering his face for her, Genji ""composed this verse"" at the villa (Washburn NC p. 68).","Spoken to Yūgao, present at the untenanted mansion; co-present at the villa."
04YG10,An Untenanted Mansion,An Untenanted Mansion,"Her reply at the villa: she ""whispered"" the verse (Washburn NC p. 68).","Heard by Genji, present at the untenanted mansion; co-present. Yūgao dies here that night."
04YG11,The Kiritsubo,The Kiritsubo,"A month after Yūgao's death ""he left for his quarters at the palace"" (Washburn NC p. 77); one evening, as ""the plants in the front garden of the palace were withering,"" he speaks the verse to Ukon — ""He spoke in a barely audible whisper"" (Washburn NC p. 80).","Heard by Ukon, present and serving him, though she ""was unable to compose a reply"" (Washburn NC p. 80)."
04YG12,Indeterminate,The Kiritsubo,"Fearing Genji had forgotten her before her departure for the provinces, Utsusemi ""sent a letter"" (Washburn NC p. 80). Her location is not stated.","Brought to Genji at the palace, where his page ""would come to the palace"" (Washburn NC p. 80); ""Genji was surprised by this rare message"" (Washburn NC p. 81)."
04YG13,The Kiritsubo,Indeterminate,"Genji, at the palace, ""sent a response"" to her letter, his hand still trembling from illness (Washburn NC p. 81).","Received by Utsusemi — ""she found it delightful and poignant that he had not forgotten her"" (Washburn NC p. 81) — but her location is not stated."
04YG14,The Kiritsubo,Nokiba no Ogi's marital home,"Genji, at the palace, ""sent her a message as well,"" attaching the verse to a tall reed and telling his page ""to deliver it in secret"" (Washburn NC p. 81).","""The page showed the stepdaughter the letter when her husband was out"" (Washburn NC p. 81) — at her marital home (the Lesser Captain's residence), unnamed."
04YG15,Nokiba no Ogi's marital home,The Kiritsubo,"She ""quickly gave the boy her reply — a rather sloppy letter . . . written in haste"" at her marital home (Washburn NC p. 81).",Carried by the page to Genji at the palace (Washburn NC pp. 81–82).
04YG16,The Kiritsubo,The Kiritsubo,"For the 49th-day rites Genji ""secretly ordered a pair of trousers to be made in her name and brought in as an offering,"" composing the verse over them (Washburn NC p. 82). Composition location inferred from context — the rites are at the Lotus Hall on Mt Hiei (Washburn NC p. 82), but the text does not place Genji there; this private verse falls in his palace-quarters period (the Kiritsubo, Washburn NC p. 77).","Speaker = addressee (composed inwardly); same location, inferred from context."
04YG17,The Kiritsubo,Indeterminate,"As the Iyo Deputy leaves the capital, Genji ""returned the robe he had taken from her that night with this poem attached"" (Washburn NC p. 83). Composition location inferred from context — no residence is named here; Genji is in his palace-quarters period (the Kiritsubo, Washburn NC pp. 77, 80).",Sent by messenger to Utsusemi as her household departs the capital; her whereabouts are not stated (Washburn NC p. 83).
04YG18,Indeterminate,The Kiritsubo,"Utsusemi ""sent nothing back with Genji's messenger, but had her younger brother . . . convey her reply"" (Washburn NC p. 83); her departing whereabouts are not stated.","Carried by her brother (the page) to Genji (Washburn NC p. 83). Receipt location inferred from context — no residence is named here; Genji is in his palace-quarters period (the Kiritsubo, Washburn NC pp. 77, 80)."
04YG19,The Kiritsubo,The Kiritsubo,"At the start of winter — ""Today marked the start of winter . . . he spent the time staring out in dark contemplation"" — Genji composes the verse contrasting the dead Yūgao and the departed Utsusemi (Washburn NC p. 83). Location inferred from context — no setting is named here; his palace-quarters period (the Kiritsubo, Washburn NC pp. 77, 80).","Speaker = addressee (composed inwardly); same location, inferred from context."
05WM01,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"As death nears, the nun grieves over the orphaned girl and ""composed a verse"" in her own quarters at the bishop's residence (Washburn NC p. 88).","Addressed to her attendant, present in the room, who weeps and replies at once (Washburn NC pp. 88–89)."
05WM02,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"At the Bishop of Kitayama’s mountain residence, in the nun’s quarters, the attendant answers the nun in person — she “composed this reply” (Washburn NC pp. 88–89); co-present.","Heard by the nun, present at the Bishop of Kitayama's residence; co-present in her quarters."
05WM03,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"Hosted in the south-facing guest room of the bishop's residence, Genji taps a fan at the screen and gives the verse to an attendant to relay (Washburn NC p. 92).",Carried by the attendant to the nun within the same residence; she puzzles over it before replying (Washburn NC p. 92).
05WM04,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"At the Bishop’s mountain residence, the nun, in her own quarters, “sent the following” to Genji through the attendant (Washburn NC p. 92).",Relayed to Genji in his guest room; the nun soon moves nearer to speak with him in person (Washburn NC pp. 92–93).
05WM05,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"At dawn, hearing the monks' confessions and the waterfall, Genji ""sent a verse to the bishop"" from within the residence (Washburn NC p. 93).","Received by the bishop, who ""replied"" (Washburn NC p. 93)."
05WM06,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"The bishop's reply, composed at his residence (Washburn NC pp. 93–94).","Received by Genji, present at the residence."
05WM07,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"At his departure, accepting rice wine, Genji recites the verse in person at the residence (Washburn NC p. 94).","Heard by the bishop, present; co-present."
05WM08,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"The bishop ""replied"" in person at the parting (Washburn NC p. 94).","Heard by Genji, present at the Bishop of Kitayama's residence; co-present."
05WM09,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"The old healer, who ""managed to make his way to the bishop's residence,"" receives the winecup and recites the verse in tearful reverence (Washburn NC pp. 94–95).","Heard by Genji at the Bishop of Kitayama's residence, present; co-present."
05WM10,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"About to board his carriage, Genji has ""one of the pages serving at the bishop's residence take a note to her"" (Washburn NC p. 95).","Carried by the page to the nun within the residence; she ""dashed off her reply"" (Washburn NC p. 95)."
05WM11,Home of the Bishop of Kitayama,Home of the Bishop of Kitayama,"The nun's reply, written at her quarters in an elegant, graceful hand (Washburn NC p. 95).",Carried back to Genji at the residence as he departs.
05WM12,The Sanjō estate (Princess Ōmiya's),Home of the Bishop of Kitayama,"""The day after returning from his mountain retreat, Genji sent letters to the house in Kitayama"" (Washburn NC p. 98). Composition location inferred from context — he had gone to ""spend a leisurely day or two at"" the Minister of the Left's residence (Washburn NC p. 97), which the text does not re-name at the moment of writing.","Sent ""to the house in Kitayama"" — the bishop's residence, where Murasaki and the nun are (Washburn NC p. 98)."
05WM13,Home of the Bishop of Kitayama,The Sanjō estate (Princess Ōmiya's),"""The nun sent a reply"" from her quarters at the bishop's residence in Kitayama (Washburn NC p. 98).",Carried back to Genji. Receipt location inferred from context — he is staying at the Minister of the Left's residence the day or two after returning (Washburn NC p. 97); the residence is not re-named here.
05WM14,Indeterminate,Home of the Bishop of Kitayama,"""After a few days he sent Koremitsu off"" to Kitayama with a further letter, again enclosing a folded note (Washburn NC p. 98). Composition location not stated — around this time Genji ""idled away the days at the palace or at his own villa"" (Washburn NC p. 99).","Carried by Koremitsu to the bishop's residence, where Murasaki and the nun are (Washburn NC pp. 98–99)."
05WM15,Home of the Bishop of Kitayama,Indeterminate,"Murasaki's reply, written for her at the bishop's residence by her grandmother — ""The nun replied for the girl"" (Washburn NC p. 99).",Carried back to Genji via Koremitsu; his capital residence is not stated (Washburn NC p. 99).
05WM16,Fujitsubo's palace residence (the Higyōsha),Fujitsubo's palace residence (the Higyōsha),"During the tryst Ōmyōbu arranges at the home where the ailing Fujitsubo has withdrawn, Genji — sobbing — recites the verse (Washburn NC pp. 99–100).","Heard by Fujitsubo, present; co-present. Afterward ""Ōmyōbu gathered up his robes"" and Genji left (Washburn NC p. 100)."
05WM17,Fujitsubo's palace residence (the Higyōsha),Fujitsubo's palace residence (the Higyōsha),"""Feeling pity for him, she replied"" in person during the tryst (Washburn NC p. 100).","Heard by Genji, present at Fujitsubo's residence; co-present."
05WM18,Nijō (Genji's villa),The Late Major Counselor's residence,"The day after visiting the ailing nun — ""he made his way home"" (Washburn NC p. 102) — ""The next day Genji sent a most solicitous letter . . . he included a small folded letter for the girl"" (Washburn NC p. 103). Composition location inferred from context — ""home"" is his Nijō villa; no residence is named at the moment of writing.","Sent to the late Major Counselor's residence, where the nun and the girl are; Shōnagon replies (Washburn NC p. 103)."
05WM19,Indeterminate,Indeterminate,"""One autumn evening,"" preoccupied with longing for Fujitsubo, Genji thinks of the girl and an image of wakamurasaki ""popped into his head"" (Washburn NC p. 103). No setting is given for this private verse.",Speaker = addressee (composed inwardly).
05WM20,The Late Major Counselor's residence,The Late Major Counselor's residence,"Visiting the late nun's residence one evening, received in the same south-side space as before, Genji recites the verse to Shōnagon (Washburn NC pp. 103–104).","Heard by Shōnagon, present at the late Major Counselor's residence; co-present."
05WM21,The Late Major Counselor's residence,The Late Major Counselor's residence,"Shōnagon's reply, spoken in person at the residence (Washburn NC pp. 104–105).","Heard by Genji, present at the late Major Counselor's residence; co-present."
05WM22,The Secret Love's residence,The Secret Love's residence,"Leaving the nun's residence at dawn, Genji pauses at the gate of a woman he had been visiting in secret and has an escort ""recite a poem that played upon the saibara, 'My Lover's Gate'"" (Washburn NC pp. 106–107).","Recited aloud at her gate; ""a comely servant emerged and answered for her lady"" (Washburn NC p. 107)."
05WM23,The Secret Love's residence,The Secret Love's residence,"""A comely servant emerged and answered for her lady"" from within the residence (Washburn NC p. 107).","Conveyed at the gate to Genji, outside; he then returns to Nijō (Washburn NC p. 107)."
05WM24,Nijō (Genji's villa),Nijō (Genji's villa),"At Nijō, making a practice album for the girl, Genji adds his own verse in small characters beside a Kokin rokujō poem on purple paper (Washburn NC pp. 111–112).","Shown to Murasaki, present beside him at Nijō; co-present."
05WM25,Nijō (Genji's villa),Nijō (Genji's villa),"Encouraged to practice, the girl writes the verse at Nijō, then tries to hide it before Genji ""made her show it to him"" (Washburn NC p. 112).","Read by Genji, present at Nijō; co-present."
06ST01,The Hitachi villa,The Hitachi villa,"Having trailed Genji from the palace, Tō no Chūjō waits by the broken fence of the Hitachi villa; when Genji tries to slip away, he approaches and recites the verse (Washburn NC pp. 116–117).",Spoken to Genji at the fence of the Hitachi villa; co-present.
06ST02,The Hitachi villa,The Hitachi villa,"Genji, amused on recognizing Tō no Chūjō, answers on the spot at the fence (Washburn NC p. 117).","Heard by Tō no Chūjō, present at the Hitachi villa; co-present. The two then ride off together to Sanjō."
06ST03,The Hitachi villa,The Hitachi villa,"Admitted to the space under the eaves, with the Princess behind a screen and unresponsive, Genji recites the verse (Washburn NC p. 121).","Spoken to the Princess, present behind the screen at the Hitachi villa; co-present."
06ST04,The Hitachi villa,The Hitachi villa,"Jijū, the nurse's daughter, unable to bear her lady's silence, ""moved over closer . . . and replied for her"" (Washburn NC p. 121).","Heard by Genji, present at the Hitachi villa; co-present."
06ST05,The Hitachi villa,The Hitachi villa,"Genji replies in person, then continues his overtures (Washburn NC pp. 121–122).","Heard by the Princess, present at the Hitachi villa; co-present."
06ST06,The Kiritsubo,The Hitachi villa,"After a day ""in service at the palace,"" Genji ""finally managed to get a letter off to her that evening"" (Washburn NC pp. 122–123). Composition location inferred from context — the writing spot is not stated; Genji is in his palace-quarters period (the Kiritsubo).","Delivered to the Princess at the Hitachi villa, where ""the expected morning-after letter arrived in the evening"" (Washburn NC p. 123)."
06ST07,The Hitachi villa,The Kiritsubo,"At her attendants' prompting, the Princess ""wrote out the poem on purple paper"" at the Hitachi villa (Washburn NC p. 123).","Carried back to Genji, who ""put the letter aside"" (Washburn NC p. 123). Receipt location inferred from context — his location that evening is not pinned (the palace, the Kiritsubo)."
06ST08,The Hitachi villa,The Hitachi villa,"On the snowy morning, having seen the Princess's looks at last, Genji makes ready to leave and recites the verse (Washburn NC pp. 126–127).","Spoken to the Princess, present at the Hitachi villa; co-present. She ""simply giggled inanely"" and did not reply."
06ST09,The Hitachi villa,The Hitachi villa,"Held up at the warped middle gate, watching the old gatekeeper struggle in the snow, Genji ""composed a verse"" (Washburn NC p. 128).","Speaker = addressee (composed inwardly), at the gate of the Hitachi villa."
06ST10,The Hitachi villa,The Kiritsubo,"The Princess's New Year gift-poem, written at the Hitachi villa on rustic Michinoku paper and (this time) composed by herself (Washburn NC pp. 129–130).","Brought by Taifu, who ""called on Genji at his quarters in the palace,"" with the accompanying clothing box (Washburn NC pp. 128–129)."
06ST11,The Kiritsubo,The Kiritsubo,"At his palace quarters, Genji ""spread open her letter and began scribbling on the edge of the paper . . . as if he were casually practicing his writing"" (Washburn NC pp. 129–130).","Speaker = addressee (jotted privately at his palace quarters, the Kiritsubo); Taifu sneaks a look (Washburn NC pp. 129–130)."
06ST12,The Kiritsubo,The Kiritsubo,"Taifu, present with Genji at his palace quarters, ""responded"" to his jotted verse (Washburn NC p. 130).","Heard by Genji, present at the Kiritsubo; co-present."
06ST13,The Kiritsubo,The Hitachi villa,"Genji's reply, ""a real strain . . . to come up with something""; the next day he hands it to Taifu at the Seiryōden attendants' waiting room to deliver (Washburn NC pp. 130–131). Composition location inferred from context — the writing spot is not stated; Genji's palace-quarters period (the Kiritsubo).","Delivered to the Hitachi villa, where the Princess's ladies ""gathered round and looked at it admiringly"" (Washburn NC p. 131)."
06ST14,Nijō (Genji's villa),Nijō (Genji's villa),"Back at Nijō — ""Arriving at his residence in Nijō, he found Murasaki"" — playing with her, Genji eyes the early red plum ""next to the covered stairs"" and sighs the verse (Washburn NC p. 133).","Speaker = addressee (composed inwardly), at Nijō."
07MM01,The Kiritsubo,Fujitsubo's palace residence (the Higyōsha),"The morning after the Seigaiha dress rehearsal, ""The following morning Genji sent a note to Fujitsubo"" (Washburn NC p. 135). Composition location inferred from context — Genji's writing spot is not stated; his palace-quarters period (the Kiritsubo).","Sent to Fujitsubo, still resident at court — she withdraws to her Sanjō villa only ""around the time of the procession"" (Washburn NC p. 136). Receipt location inferred from context — her court pavilion (the Higyōsha); the exact room is not stated."
07MM02,Fujitsubo's palace residence (the Higyōsha),The Kiritsubo,"Moved by the dance, Fujitsubo ""could not very well pretend she had not seen his note, and so she replied"" (Washburn NC p. 135). Composition location inferred from context — her court pavilion; the exact room is not stated.","Carried back to Genji, who ""had not expected a reply, and so he was ecstatic"" (Washburn NC p. 135). Receipt location inferred from context — his palace quarters (the Kiritsubo); not stated."
07MM03,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"Visiting the recuperating Fujitsubo — ""She had withdrawn to her own villa on Sanjō Avenue, and so he called on her there"" (Washburn NC p. 137) — Genji pleads through Ōmyōbu and recites the verse on the verge of tears (Washburn NC pp. 141–142).","Heard by Ōmyōbu, present at Fujitsubo's villa on Sanjō Avenue; co-present."
07MM04,Fujitsubo's villa on Sanjō Avenue,Fujitsubo's villa on Sanjō Avenue,"Unable to refuse him outright, Ōmyōbu answers in person, recalling Kanesuke's poem on parents ""lost in darkness"" (Washburn NC p. 142).","Heard by Genji, present at Fujitsubo's villa on Sanjō Avenue; co-present."
07MM05,Nijō (Genji's villa),Fujitsubo's villa on Sanjō Avenue,"""Genji returned to his Nijō villa,"" had a pink picked from the front garden, and ""sent [it] to Ōmyōbu"" with the verse for Fujitsubo (Washburn NC p. 143).","Ōmyōbu ""showed it to Fujitsubo and encouraged her lady to write back"" at her Sanjō villa (Washburn NC p. 143)."
07MM06,Fujitsubo's villa on Sanjō Avenue,Nijō (Genji's villa),"Deeply moved, Fujitsubo ""sent back a simple poem written in the faintest of hands"" from her Sanjō villa (Washburn NC p. 143).",Carried back to Genji. Receipt location inferred from context — he had written from his Nijō villa (Washburn NC p. 143); his receiving spot is not stated.
07MM07,The Seiryōden,The Seiryōden,"In the Emperor's residential quarters, after Naishi ""had finished combing and arranging the Emperor's hair"" and His Majesty ""withdrew to change,"" ""Genji now found himself alone with Naishi"" (Washburn NC p. 146); they exchange fans and she recites the verse (Washburn NC pp. 146–147).","Heard by Genji, present at the Seiryōden; co-present."
07MM08,The Seiryōden,The Seiryōden,"At the Seiryōden, where the Emperor has withdrawn to change his robes and Genji is left alone with Gen no Naishi (p. 146), Genji replies to her in person (Washburn NC p. 147); co-present.","Heard by Naishi, present at the Seiryōden; co-present."
07MM09,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace,"On a rainy evening Genji ""moved closer to her chambers"" and hears Naishi at her biwa; she takes up a saibara and sings the verse (Washburn NC pp. 148–149).",Heard by Genji from just outside her chambers; effectively co-present.
07MM10,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace,"In Gen no Naishi’s chambers at the palace, which Genji enters at her invitation, he answers her in person (Washburn NC p. 149); co-present.","Heard by Naishi, present; co-present."
07MM11,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace,"After ""Tō no Chūjō stealthily slipped inside her chambers"" and the cloak was ripped, he taunts Genji with the verse (Washburn NC p. 150).","Heard by Genji, present; co-present."
07MM12,Gen no Naishi's chambers at the palace,Gen no Naishi's chambers at the palace,"In Gen no Naishi’s chambers, as Genji and Tō no Chūjō struggle over their robes, Genji retorts in person (Washburn NC p. 150); co-present.","Heard by Tō no Chūjō, present at Gen no Naishi's chambers; co-present."
07MM13,Gen no Naishi's chambers at the palace,The Kiritsubo,"The following morning Naishi ""had an obi sash and a pair of trousers returned to Genji, along with a note"" bearing the verse, from her chambers (Washburn NC pp. 150–151).",Carried to Genji the morning after. Receipt location inferred from context — his whereabouts are not stated; his palace quarters (the Kiritsubo).
