Fujitsubo's villa on Sanjō Avenue,"Empress Fujitsubo's family home on Sanjō Avenue (the same site as 'Fujitsubo's residence,' Ch5, and 'Fujitsubo's family residence on Sanjō,' Ch10, 12), appearing here in Momiji no ga (Ch7, 'An Imperial Celebration of Autumn Foliage') as a locus of Genji's continuing, anguished attachment. The text does not describe the villa; see the Ch5 and Ch10 entries for the residence's fuller significance.",Fujitsubo's villa on Sanjō Avenue,450,0,FALSE,fictional with evidence
Gen no Naishi's chambers at the palace,"The palace chambers of Gen no Naishi — an Assistant Handmaid (Naishi no suke) 'nearing sixty' who, 'in spite of her age, tended to be outrageously flirtatious and utterly frivolous' (Momiji no ga, Ch7, 'An Imperial Celebration of Autumn Foliage,' p.146). Her chambers stage the chapter's comic subplot: Genji trades teasing notes and poems with her, and one rainy night, loitering near the Unmeiden, he hears her play the biwa 'in a most pleasing manner' and sing a saibara (Ch7, p.148). Tō no Chūjō, learning of the affair, takes it up as well and later bursts in on Genji during a tryst, the two friends scuffling in mock-heroic rivalry — a rare comic register in the palace's poetic geography.",Gen no Naishi's chambers at the palace,200,600,FALSE,historical
Genji's Katsura villa,"Genji's own villa at Katsura, on the far side of the river from the Akashi lady's Ōi residence, in Matsukaze (Ch18, 'Wind in the Pines'). Genji uses the pretext of 'business to attend to regarding a villa I'm building at Katsura' (Ch18, p.334) to visit Ōi. The villa is the setting of a splendid moonlit banquet: hearing 'the cries of the cormorant fishermen' recalls Suma to him (Ch18, p.339); noblemen returning from a hunt compose Chinese verses, and 'when the moon rose and was shining brightly, they began to play music in concert,' the 'soughing of the breeze off the river' an accompaniment (Ch18, p.339). Emperor Reizei, learning Genji is at Katsura, dispatches a Controller of the Chamberlain's office with a letter — 'I hear you stay across the river near the moon' (Ch18, p.339). The five poems (18xx) belong to this moon-viewing revelry.",Genji's Katsura villa,1200,-900,FALSE,historical
Governor of Kii's Mansion,"The villa of the Governor of Kii, 'east of here in the vicinity of the Nakagawa River,' where 'he recently dammed the river up to make a stream and pond for his garden, so it's a cool, shaded place' (Hahakigi, Ch2, 'Broom Cypress,' p.38) — to which Genji repairs when a directional taboo blocks his return to the palace. Here Genji first encounters Utsusemi (the young wife of the Governor of Iyo, the Kii Governor's father), beginning the affair that runs through Utsusemi (Ch3, 'The Molted Cicada Shell'). The seven poems (02HH10–14, 03UT01–02) span the mansion's role as the setting of that famous episode. Cf. 'Nokiba no Ogi's marital home' (Ch4).",Governor of Kii's Mansion,600,1000,FALSE,fictional with evidence
Hanachirusato's villa (the scattering orange blossoms),"Hanachirusato's residence — 'the villa of the scattering orange blossoms' (Miotsukushi, Ch14, 'Channel Markers,' p.288) — in its Ch14 appearance, the same site as 'The Reikeiden Consort's villa' (Ch11) she shares with her sister. After his return from exile, Genji, 'preoccupied with his official responsibilities,' neglects her until 'the idle period of the rainy season,' when 'his longing for her stirred and he went to pay a visit' (Ch14, p.288). The two poems (14MT09–10) are their quiet reunion exchange — Hanachirusato having 'done nothing special to attract his attention,' the visit turns on Genji's constancy to an undemanding, gentle love rather than on the villa's appearance. Cf. 'The Reikeiden Consort's villa (Hanachirusato's quarters)' (Ch12).",Hanachirusato's villa (the scattering orange blossoms),450,1400,FALSE,fictional without evidence
Hasedera (the Hatsuse Kannon temple),"The Hatsuse Kannon temple (Hasedera), at the base of Mount Miwa — 'one of the most famous temples in our land,' its reputation said to have 'spread even to China' (Tamakazura, Ch22, 'A Lovely Garland,' p.413), and among the most important pilgrimage sites of the age, its eleven-faced Kannon reputed especially efficacious in answering prayers (Ch22 translator's note). Tamakazura's party, newly returned from Kyūshū, makes the arduous journey here on foot to pray for her destiny, reaching 'the town of Tsubaichi at the base of Mount Miwa' after four days (Ch22, p.414). At the temple lodgings, by the working of Kannon, she is reunited with Ukon — her dead mother Yūgao's old attendant, who had prayed at Hasedera for exactly this — and the two exchange the 'twin cedars' verses ('Where two cedars stand, would I have met you,' Ch22, p.419), alluding to the sacred cedars of Mount Miwa. The pilgrimage reunion sets Tamakazura's whole story in motion. Hatsuse recurs as a pilgrimage destination through the Uji chapters.",Hasedera (the Hatsuse Kannon temple),1000,2000,FALSE,historical
Higekuro's residence,"The Major Captain Higekuro's mansion, the setting of the domestic tragedy at the heart of Makibashira (Ch31, 'A Beloved Pillar of Cypress'). When Higekuro takes Tamakazura as a second wife, his afflicted principal wife (Tō no Chūjō's daughter), seized by her malignant spirit, 'pulled out the censer from beneath the filigree basket used to perfume her husband's robes, walked up behind the Major Captain, and dumped the ashes on his head' (Ch31, p.521) — one of the tale's most startling scenes. As the marriage collapses and her father takes her home, her little daughter grieves to leave: at 'a pillar of cypress wood on the east side of her room' that was 'her favorite spot,' she writes a farewell poem on 'reddish-brown paper, a color similar to cypress bark' and thrusts it, with a hair-ornament, 'into a crack in the pillar' (Ch31, p.524) — the beloved cypress pillar that gives the chapter its title. The same site later centers on Tamakazura's household as Higekuro's widow (cf. 'Tamakazura's residence,' Ch44).",Higekuro's residence,,,FALSE,null
Home of Genji's Grandmother,"The family home of Genji's maternal grandmother, a widow, in Kiritsubo (Ch1, 'The Lady of the Paulownia-Courtyard Chambers') — the residence to which Genji's dying mother, the Kiritsubo Intimate, withdraws and where the infant Genji is kept. 'Although the grandmother of the little boy was a widow, she had carefully maintained appearances and made the residence a pleasant place to live in order to look after her only daughter' (Ch1, p.7), but after her daughter's death it falls under 'a dark mood.' The four poems (01KR02–05) are the grief-stricken exchange between the grandmother and the Emperor's messenger, Yugei no Myōbu, sent to inquire after the child.",Home of Genji's Grandmother,400,-1000,FALSE,fictional with evidence
Home of the Bishop of Kitayama,"A mountain temple 'in the recesses of the mountains north of the capital' (Wakamurasaki, Ch5, 'Little Purple Gromwell,' p.84), in the hills of Kitayama, where Genji goes to seek a healing ascetic for his recurring fever — and where he first discovers the child Murasaki. He arrives at cherry-blossom time: 'The cherry trees in the mountains... were still in full bloom, and as Genji's party wended its way deeper into the mountains, the cloudy mists rising at the peaks were breathtaking' (Ch5, p.84); the ascetic 'lived secluded amidst the crags of a high peak.' Below the temple stands the retreat of a certain bishop — 'a fence made of a wattle of branches... surrounded a pretty little house with a veranda situated amidst a fine stand of trees' (Ch5, p.85) — where the bishop's sister, a nun (Murasaki's grandmother), is convalescing. Peering 'through gaps in the fence' under cover of evening mist, Genji watches the nun at her devotions and glimpses the little girl who will become Murasaki (Ch5, p.87). The 15 poems here — the tale's densest cluster outside the great houses — include the 'young gromwell' (wakamurasaki) exchanges that give the chapter its name. The site's beauty and seclusion frame the fateful discovery.",Home of the Bishop of Kitayama,-1000,-700,FALSE,fictional with evidence
Home of the Warden's Lady,"The residence of the fickle, koto-playing woman the Warden of the Left Mounted Guard was secretly seeing, in the rainy-night discussion of Hahakigi (Ch2, 'Broom Cypress') — who, he discovers, is entertaining another man. On an autumn night he watches a courtier serenade her, playing a flute among frost-touched chrysanthemums while 'her instrument reverberated clearly... a perfect accompaniment to the pure autumn moon' (Ch2, p.31), the man picking chrysanthemums and composing a poem (Ch2, p.31). The two poems (02HH03–04) belong to this moonlit scene of infidelity. Distinct from the finger-biting lady (also the Warden's); the setting exemplifies the untrustworthy, over-accomplished woman.",Home of the Warden's Lady,-100,-1000,FALSE,projected
House of the Finger Biting Lady,"The home of the fiercely jealous lady recalled by the Warden of the Left Mounted Guard in the rainy-night discussion of Hahakigi (Ch2, 'Broom Cypress'). When he feigned a break-up to cure her jealousy, 'the woman, unable to control her passions, grabbed my hand and bit one of my fingers' (Ch2, p.29); he stalked out with a poem, 'As I bend my wounded fingers counting.' The two poems (02HH01–02) are this finger-biting quarrel — a cautionary anecdote-setting rather than a described place, exemplifying, in the discussion's taxonomy, the unbearably jealous wife.",House of the Finger Biting Lady,-300,-1000,FALSE,projected
"Kaoru's Sanjō residence (the Third Princess's, rebuilt)","Kaoru's residence — the Third Princess's Sanjō mansion, rebuilt after the fire that destroyed her earlier Sanjō villa (Ch47), to which Kaoru moves from Rokujō in Sawarabi (Ch48, 'Bracken Shoots'). It stands close to Genji's old Nijō villa — near enough that in spring 'Kaoru gazed across from his new residence on Sanjō toward the blossoms at the Nijō villa' (Ch48, p.935), the sight carrying his thoughts back to the deserted house at Uji. His mother the Third Princess and her women live here, and his wife the Second Princess (the 'Fujitsubo Princess') moves in after their marriage (Yadorigi, Ch49). As a poetic site it is understated — the narrative dwells on Kaoru's restless interiority rather than on the house — but it is the point from which his letters to Ukifune at Uji originate and where he reads her replies (Ukifune, Ch51), where his grief-poems and the picture exchange with the First Princess center (Kagerō, Ch52), and from which he sends the tale's final letter-poem to Ukifune at Ono (Yume no ukihashi, Ch54). Distinct from the older Sanjō residences of Ōmiya and Yūgiri and from the small Sanjō hideaway of Ch50.","Kaoru's Sanjō residence (the Third Princess's, rebuilt)",,,FALSE,null
Koremitsu's Mother's House on Gojō,"The Gojō residence of Genji's old wet-nurse (Koremitsu's mother), 'the wife of the Senior Assistant Governor General for Kyūshū,' now gravely ill and newly a nun, whom Genji stops to visit in Yūgao (Ch4, 'The Lady of the Evening Faces'). Finding 'the gate where he usually entered was bolted shut,' he waits while Koremitsu is summoned (Ch4, p.55) — and it is next door to this house that he notices the evening-faces vine. Genji consoles the dying nurse, urging her to 'live a long life so that you'll be able to watch me rise through the ranks.' The two poems (04xx) are their tender parting exchange — the doorstep from which the whole Yūgao episode opens. Cf. 'Yūgao's House on Gojō.'",Koremitsu's Mother's House on Gojō,950,300,FALSE,fictional with evidence
Koremitsu's residence,"The residence of Koremitsu (Genji's foster-brother and retainer, now Governor of Settsu), where his daughter — whom Genji presents as a Gosechi dancer — returns after the festival, in Otome (Ch21, 'Maidens of the Dance'). The smitten young Yūgiri sends the girl a covert love-poem here; she is 'enchanted by the note,' which was 'written on thin green paper that matched the color of the coral evergreen garland she had worn for the Gosechi dance,' and 'stylishly bundled with other sheets of various colors' (Ch21, p.395). As she and her brother read it, 'Koremitsu suddenly entered' and, startling them, 'took it from them' (Ch21, p.395). The single poem (21OT10) is Yūgiri's first love-letter — a notable instance of paper chosen to match its occasion.",Koremitsu's residence,450,675,FALSE,fictional without evidence
Kōbai's residence,"The villa of Kōbai (Tō no Chūjō's second son, Kashiwagi's brother), in Kōbai (Ch43, 'Red Plum'). To house his three daughters at their coming-of-age, 'Kōbai widened the main hall of his villa to eight pillars to create seven openings along the front facade' (Ch43, p.792) — a mark of high rank (a translator's note observes that seven openings exceeded the usual six-pillar span). Each daughter is given a quarter facing a different direction. The residence's signature image is 'a lovely red plum tree blooming near the eaves on the east side of the main hall' whose 'enchanting fragrance' (Ch43, p.795) prompts Kōbai to break off a branch and send it to Niou at the palace — a courtship overture trading on the Prince's own celebrated scent. Stands just to the east of Tamakazura's residence (Ch44).",Kōbai's residence,,,FALSE,null
Lady Rokujō's residence (Rokujō),"The refined Sixth-Avenue residence of the Rokujō lady (the Rokujō Haven), Genji's proud, older, cultivated mistress — the site later absorbed, after her death, into Genji's grand Rokujō estate. It appears first in Yūgao (Ch4, 'Lady of the Evening Faces'), where Genji's ardor is already cooling: after 'one of his now infrequent visits to Rokujō, a heavy fog blanketed the surroundings' (Ch4, p.61), and he lingers over 'the variegated autumn foliage of the garden' as an elegant lady-in-waiting sees him off at dawn. The residence's atmosphere is autumnal, exquisite, and faintly melancholy — a mirror of its mistress's wounded refinement. The same site recurs as 'Lady Rokujō's residence (Rokujō)' (Ch9) and 'The Rokujō villa (Lady Rokujō's residence)' (Ch14); it is likely the land later incorporated into 'The Rokujō estate (Genji's mansion)' (Ch21+).",Lady Rokujō's residence (Rokujō),1200,100,FALSE,fictional with evidence
Naniwa (Tamino Island),"Tamino Island at Naniwa, where the Akashi lady undergoes her purification rite, in Miotsukushi (Ch14, 'Channel Markers'). 'She attached her poem to one of the cords of paper mulberry bark used during the Purification Ritual she underwent on Tamino Island and sent it to Genji' (Ch14, p.293) — the verse playing on the island's name (Tamino, 'isle of straw raincoats'): 'Even the name Tamino, isle of straw raincoats' (Ch14, p.293). The single poem is delivered by messenger, attached to a ritual mulberry-bark streamer — a notable instance of a poem's physical medium being drawn from the sacred rite itself.",Naniwa (Tamino Island),1400,-2000,FALSE,fictional without evidence
Naniwa (the Akashi Lady's boat),"The Akashi lady's boat at Naniwa, in Miotsukushi (Ch14, 'Channel Markers'). Having sailed to Sumiyoshi for her annual pilgrimage only to find the shore overwhelmed by Genji's grand procession, and 'overcome with an unpleasant sense of inferiority,' she resolves, 'I'll have my boat put in at Naniwa and undergo purification there,' and 'had her men row the boat away' (Ch14, p.291). The single poem belongs to this humiliated withdrawal by water — the Akashi lady's boat a recurring emblem of her lowly, drifting station beside Genji's splendor. One of several closely linked Naniwa water-sites in this chapter.",Naniwa (the Akashi Lady's boat),1400,-1600,FALSE,fictional without evidence
Naniwa (the Horie canal),"The Horie canal at Naniwa, 'famous in poetry for the poles used to mark out the boat channels,' viewed by Genji on his return tour after the Sumiyoshi pilgrimage, in Miotsukushi (Ch14, 'Channel Markers'). Genji 'instinctively murmured a line of verse: ""Now, in this very city of Naniwa""' (Ch14, p.292); Koremitsu, ever ready, produces 'the short-handled brush and paper' he keeps in his robe, and Genji writes the channel-marker (miotsukushi) verse, 'Like the channel markers leading us here,' that gives the chapter its title (Ch14, p.292). The single poem turns on the pun of miotsukushi — channel-marker and 'exhausting oneself' — as a pledge to the Akashi lady.",Naniwa (the Horie canal),1200,-1600,FALSE,fictional without evidence
Naniwa (the inlet),"The Naniwa inlet at evening, in Miotsukushi (Ch14, 'Channel Markers'), the setting for the exchange between Genji and the Akashi lady after their near-miss at Sumiyoshi. Her reply reaches him at sunset: 'The evening tide was rising and cranes, with their lovely cries, were calling out from the inlet,' the poignant scene making Genji long 'to meet her regardless of who might see them' (Ch14, p.293). The two poems belong to this tidal, crane-haunted twilight. Closely linked to the other Naniwa water-sites of this chapter (the boat, the Horie canal, Tamino Island).",Naniwa (the inlet),1200,-2000,FALSE,fictional without evidence
Nijō (Genji's villa),"Genji's private villa on Nijō (Second Avenue), his principal home for most of the tale and second only to Rokujō in poetic output (116 poems, Ch3–52). Originally the residence of Genji's late mother, it is rebuilt and enlarged for him in Kiritsubo (Ch1, 'The Lady of the Paulownia-Courtyard Chambers'): the Office of Palace Repairs is ordered to 'rebuild and expand the former residence of Genji's mother, a villa on Nijō Avenue,' so splendidly that 'there would be no other villa like it,' its woods and hills already 'unparalleled' and its enlarged garden pond so eye-catching that 'it created a stir' (Ch1, p.19). Genji imagines it as the perfect home for a wife like Fujitsubo (Ch1, p.19) — a wish half-realized when, in Wakamurasaki (Ch5, 'Little Purple Gromwell'), he carries the child Murasaki here before dawn to the west hall, which 'was not usually inhabited, and there were no curtains or furnishings' until he has it furnished from the east hall (Ch5, p.111). Nijō is thus above all Murasaki's home, organized around her west hall and the east annex added for Hanachirusato; Murasaki dies here in Minori (Ch40). After Genji's death Niou treats Nijō as his own residence (Ch42), installs Naka no Kimi in the west hall (Sawarabi, Ch48) where she bears his son (Yadorigi, Ch49); here Chūjō no Kimi shelters Ukifune and Niou intrudes on her (Azumaya, Ch50), and Niou intercepts Ukifune's New Year letter and sends his rain-letters from his sickbed (Ukifune, Ch51). Poems flow to and from Nijō across three generations — Genji, Murasaki, Hanachirusato, Niou, Naka no Kimi, Kaoru — making it the connective hub of the capital's poetic correspondence.",Nijō (Genji's villa),100,1100,FALSE,fictional with evidence
Nokiba no Ogi's marital home,"The marital home of Nokiba no Ogi — Utsusemi's stepdaughter, with whom Genji had 'mistakenly slept that night' (Yūgao, Ch4, 'The Lady of the Evening Faces') during his pursuit of Utsusemi — after she is 'betrothed to a Lesser Captain in the Palace Guard' (Ch4, p.81). Curious about her, Genji sends her a message at her new home (Ch4, p.81). The two poems (04xx) are this after-the-fact exchange with the young wife he took by error. The residence is undescribed; its interest lies in the wry aftermath of the mistaken tryst.",Nokiba no Ogi's marital home,-500,1300,FALSE,fictional without evidence
On the Uji River (the boat to the Isle of Tachibana),"The Uji River itself, as the setting of the title scene of Ukifune (Ch51, 'A Boat Cast Adrift'). To spirit Ukifune away for a secret tryst, Niou takes her by boat across the water: 'They boarded one of those small boats that she had gazed out on every day... As they were crossing the river, she felt isolated and lonely, as if she were being separated from everything, rowing away toward some remote, far-off shore' (Ch51, p.1059), while 'the twentieth-day moon rose clear and high, its beams reflecting off the pellucid surface of the water.' The oarsman draws up at 'the Isle of Tachibana,' 'shaped like an enormous rock,' its evergreens casting 'deep shadows' (Ch51, p.1059). Here the lovers exchange the ukifune ('a boat cast adrift') verses that name the chapter and crystallize Ukifune's sense of herself as rudderless — the image that foreshadows her attempt to drown in this same river.",On the Uji River (the boat to the Isle of Tachibana),,,FALSE,null
"On the journey to Suma (the ruined Ōe villa, Yodo River)","A ruined villa on the banks of the Yodo River, glimpsed by Genji as he journeys into exile in Suma (Ch12, 'The Coast at Suma'). Having boarded a boat at the Fushimi landing, he 'viewed the site of the Ōe villa on the banks of the Yodo River. Once used as a lodge for the Ise Priestess on her return to the capital, it was now in utter ruins, with only pine trees remaining as a marker of where the buildings once stood' (Ch12, p.236). The single poem (12xx) is Genji's meditation on the ruin — an emblem of transience and lost glory mirroring his own fall. A transient waypoint, described only in passing.","On the journey to Suma (the ruined Ōe villa, Yodo River)",1000,-1500,FALSE,historical
Outside the Uji villa (Niou's failed night visit),"The approach to the Uji villa, where Niou is turned away on a later clandestine visit in Ukifune (Ch51, 'A Boat Cast Adrift'). By now Kaoru has grown suspicious and posted vigilant watchmen, so that Niou, arriving in disguise, cannot be received: he is left 'waiting on horseback a short distance away' when 'wild-sounding dogs came rushing out,' their 'ferocious growling and howling' terrifying his small, nervous escort (Ch51, p.1080). Unable to reach Ukifune, he shelters 'beneath the shade of a weed-tangled hedge enclosing a peasant's hut,' where Tokikata spreads a saddle blanket and helps him dismount (Ch51, p.1080). His frustrated soliloquy (51UF18) is composed here, outside the barred villa — the scene marking the collapse of his access to Ukifune and hastening the crisis that drives her toward the river.",Outside the Uji villa (Niou's failed night visit),,,FALSE,null
Princess Asagao's residence,"An earlier reference to Princess Asagao's home, in Aoi (Ch9, 'Leaves of Wild Ginger'), where Genji — relying as ever on her lady-in-waiting Chūjō as go-between — continues his long, unrequited correspondence with the Bellflower Princess. The residence is not described here; it is chiefly a destination for Genji's persistent letters. The same lady's fuller home appears as 'The Momozono estate (Princess Asagao's residence)' (Ch20–32), her father Prince Shikibu's estate north of Ichijō.",Princess Asagao's residence,550,-600,FALSE,fictional without evidence
Suma (Genji's villa in exile),"Genji's place of self-imposed exile on the Suma coast (Ch12, 'The Coast at Suma'; also Ch13) — in antiquity 'a site where the nobility had built villas and estates,' but by Genji's day 'a desolate, deserted backwater dotted with a scattering of fishermen's huts' (Ch12, p.225), 'those desolate shores where there would be no callers except for the wind and the waves' (Ch12, p.225). Genji brings only essentials — 'a box containing essential books, including the collected poems of Bai Juyi and... a seven-string koto' — resolving to 'adopt the appearance of a poor mountain peasant' (Ch12, p.231). His abode stands near where the exiled poet Ariwara no Yukihira once grieved: 'situated on a disturbingly isolated hill a short distance in from the shore. Everything about the place, starting with the fence, seemed a marvel to him. The thatched roofs of the small pavilions and the reed-thatched roofs of what were apparently the passageways connecting the buildings were pleasantly elegant' (Ch12, p.237). Suma is the tale's great landscape of loneliness and exile-poetry — the salt-makers' fires, the smoke, the sea-wind, the terrifying storm — and generates 30 poems, the most of any exile site. Genji is delivered from it when the Akashi Priest's boat carries him on to Akashi (Ch13).",Suma (Genji's villa in exile),1000,-2500,FALSE,historical
Sumiyoshi Shrine,"The great shrine at Sumiyoshi (near Naniwa), dedicated to the god of the sea and of poetry, and a focus of thanksgiving pilgrimage. Its central scene is in Miotsukushi (Ch14, 'Channel Markers'): 'In the autumn, Genji went on a pilgrimage to the Sumiyoshi Shrine' with 'a magnificent procession in order to offer thanks to the deity there for granting his prayers' (Ch14, p.290). By coincidence the Akashi lady arrives by boat the same day on her own annual pilgrimage; seeing 'the beach packed with bustling, noisy pilgrims' and, 'against the dark green backdrop of the fields of pine trees,' the courtiers' robes like 'the scattering blossoms of spring or the foliage of fall' (Ch14, p.291), she is 'overcome with an unpleasant sense of inferiority' (Ch14, p.291) and has her boat rowed away to Naniwa without landing (Ch14, p.292). The channel-marker (miotsukushi) verses they exchange give the chapter its title. Genji returns for a second grand thanksgiving pilgrimage, with Murasaki and the Akashi entourage, in Wakana ge (Ch35). The shrine embodies the working of divine favor over the Akashi destiny.",Sumiyoshi Shrine,1000,-4500,FALSE,historical
Suzaku's mountain temple (his retreat),"The mountain temple that Retired Emperor Suzaku builds as his religious retreat, 'in the hills west of the capital' (Wakana, Ch34, 'Early Herbs,' p.566), and to which he withdraws after taking the tonsure. From it he cannot stop worrying over the Third Princess, whom he has entrusted to Genji. Its poetic moment comes in Yokobue (Ch37, 'The Transverse Flute'): 'Retired Emperor Suzaku, off in his mountain temple' (Ch37, p.696), gathers rustic gifts of the season — 'The bamboo shoots emerging in the nearby forest and the taro roots growing in the vicinity of his temple struck Suzaku as touching symbols of the rustic life of a mountain village' — and sends them to the Third Princess with a letter (Ch37, p.697). The accompanying verses turn on the bamboo shoots and her little son. Distinct from Suzaku's pre-retirement residence (see 'The Suzaku Palace').",Suzaku's mountain temple (his retreat),,,FALSE,null
