claimId:ID(Claim-ID),subjectSite,referenceAnchor,evidenceType,quote,chapter:int,page:int,notes
C24,The Secret Love's residence,Rokujō × Kyōgoku,TEXTUAL_DIRECT,"The lady lived in the vicinity of Rokujō and Kyōgoku, and as he left the palace her place began to seem a little too distant.",5,101,Also implies a Palace→Rokujō/Kyōgoku route with the 'weather-beaten house' (row 86 context) as a segment point.
C25,The Rokujō estate (Genji's mansion),The Suzaku Palace,TEXTUAL_DIRECT,Because it was a fair distance between the Suzaku Palace and Genji's estate...,23,437,Distance constraint: Suzaku Palace (west side) vs Rokujō estate (east side).
C26,The Momozono estate (Princess Asagao's residence),Ichijō,TEXTUAL_DIRECT,...she had moved to her late father's estate at Momozono just north of Ichijō.,20,360,Places Momozono outside/above the grid's northern row.
C27,The Ichijō villa (the Second Princess's residence),Ichijō,TEXTUAL_DIRECT,"Please call on the Second Princess, if you have occasion to . . . her residence is on Ichijō (p.686); The Second Princess remained in her villa on Ichijō (p.690).",36,686,"CORRECTION: an earlier data-provenance flag claimed 'Ichijō' never appears in Washburn; that was a text-search artifact, now withdrawn (master workbook row 57 corrected)."
C28,The Kamo Festival (the viewing ground) / The lustration procession (the carriage quarrel),Ichijō Avenue,TEXTUAL_DIRECT,The thoroughfare of Ichijō was crammed with carriages and bustling with people. Viewing platforms had been erected at various sites...,9,163,"Transient: render as a point on the Ichijō Avenue line, not a station (rows 60 and 101)."
C29,The Kujō lodging (Tamakazura's residence in the capital),Kujō,TEXTUAL_DIRECT,"Calling on an old acquaintance who was living at Kujō, they were able to find lodging at his residence. Although the place was inside the city proper...",22,412,
C30,Governor of Kii's Mansion,the Nakagawa River,TEXTUAL_DIRECT,...has a villa east of here in the vicinity of the Nakagawa River. He recently dammed the river up to make a stream and pond for his garden.,2,38,"East of here' is spoken during the directional-taboo scene; the reference point is the Minister of the Left's residence, where Genji is staying — flag if a different anchor is preferred."
C31,A woman's house at Nakagawa,the Nakagawa River,TEXTUAL_DIRECT,"Just as he was secretly making his way across the Nakagawa River, he heard the lovely strains of a koto...",11,223,On the route from Nijō toward the Reikeiden villa; near-segment station on the city's east side.
C32,The Ise departure procession (passing Genji's Nijō villa),Nijō Avenue → Tōin boulevard (past the Nijō villa),TEXTUAL_DIRECT,"The party set off after dark, and when they turned at Nijō Avenue onto the boulevard of Tōin, they passed by Genji's villa.",10,197,Transient (row 59): a point on the Tōin segment at the Nijō villa. The Ōsaka barrier reply (row 94) extends this route east out of the grid.
C33,Ōharano excursion route (within the capital),south on Suzaku Avenue → west on Gojō Avenue → toward the Katsura River,TEXTUAL_DIRECT,"...moving south along the main central road, Suzaku Avenue, then turning west onto Gojō Avenue. Carriages filled with spectators were packed all along the route right up to the Katsura River.",29,490,Defines the western exit-line from the grid; the Ōharano/Katsura/Ōi cluster hangs off it.
C34,The Hitachi villa (Suetsumuhana's),Nijō villa and the Reikeiden (Hanachirusato's) villa,TEXTUAL_INFERRED,"All of the times I've passed by this place and peeked in from the road... (Koremitsu, p.308); Genji, en route to 'the villa of the scattering orange blossoms,' notices the ruined garden (Ch15, p.308).",15,308,No street named anywhere for the Hitachi villa; place it on the Nijō→Reikeiden travel line only.
C35,Higekuro's residence,—,INDETERMINATE,"(No street, ward, or relational placement found in Washburn.)",,,Place only by editorial convention; mark as unanchored on the map.
C36,The Reikeiden Consort's villa (Hanachirusato's),—,INDETERMINATE,"(No street or ward given; reachable from Nijō via the Nakagawa crossing per Ch11, p.223 — i.e., east of the Nakagawa — but no more precise anchor found.)",,,"Weak eastward constraint only (route evidence, C31/C34)."
C37,The Reizei villa (Retired Emperor Reizei's residence),—,INDETERMINATE,"(No street, ward, or relational placement found in Washburn.)",,,
C38,Kōbai's residence,—,INDETERMINATE,(No grid placement found. FLAG: the Location Description formerly asserted it stands 'just to the east of Tamakazura's residence'; no supporting passage was found and the sentence has been withdrawn — master workbook row 31 flagged.),,,Review before placement.
C39,The Suzaku Palace (Retired Emperor Suzaku's residence),the historical Suzakuin (west of Suzaku Ōji),TRADITIONAL_UNVERIFIED,"(Identification of the tale's Suzaku Palace with the historical Suzakuin detached palace: traditional, not established in Washburn's text. Textual constraint available: 'a fair distance' from the Rokujō estate, Ch23, p.437 — see C25.)",,,To be verified against an external source before fixing coordinates.
