10SK03,The temporary shrine at Nonomiya (the plains of Sagano),The temporary shrine at Nonomiya (the plains of Sagano)
10SK04,The temporary shrine at Nonomiya (the plains of Sagano),The temporary shrine at Nonomiya (the plains of Sagano)
10SK05,Nijō (Genji's villa),The temporary shrine at Nonomiya (the plains of Sagano)
10SK06,The temporary shrine at Nonomiya (the plains of Sagano),Nijō (Genji's villa)
10SK07,The palace (the Ceremony of Parting),The palace (the Ceremony of Parting)
10SK08,Nijō (Genji's villa),The Ise departure procession (passing Genji's Nijō villa)
10SK09,The barrier gate at Ōsaka (Ōsaka no seki),Nijō (Genji's villa)
10SK10,Nijō (Genji's villa),Nijō (Genji's villa)
10SK11,The late Retired Emperor's villa,The late Retired Emperor's villa
10SK12,The late Retired Emperor's villa,The late Retired Emperor's villa
10SK13,The late Retired Emperor's villa,The late Retired Emperor's villa
10SK14,The palace (the passageway near the Kokiden),The palace (the passageway near the Kokiden)
10SK15,The palace (the passageway near the Kokiden),The palace (the passageway near the Kokiden)
10SK16,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
10SK17,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
10SK18,The Urin'in Temple (north of the capital),Nijō (Genji's villa)
10SK19,Nijō (Genji's villa),The Urin'in Temple (north of the capital)
10SK20,The Urin'in Temple (north of the capital),The Kamo Shrine
10SK21,The Kamo Shrine,The Urin'in Temple (north of the capital)
10SK22,The palace (Fujitsubo's withdrawal),The palace (Fujitsubo's withdrawal)
10SK23,The palace (Fujitsubo's withdrawal),The palace (Fujitsubo's withdrawal)
10SK24,The palace (Oborozukiyo's quarters),Nijō (Genji's villa)
10SK25,Nijō (Genji's villa),The palace (Oborozukiyo's quarters)
10SK26,Nijō (Genji's villa),Fujitsubo's family residence on Sanjō
10SK27,Fujitsubo's family residence on Sanjō,Nijō (Genji's villa)
10SK28,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
10SK29,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
10SK30,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
10SK31,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
10SK32,Tō no Chūjō's residence,Tō no Chūjō's residence
10SK33,Tō no Chūjō's residence,Tō no Chūjō's residence
11HC01,A woman's house at Nakagawa,A woman's house at Nakagawa
11HC02,A woman's house at Nakagawa,A woman's house at Nakagawa
11HC03,The Reikeiden Consort's villa,The Reikeiden Consort's villa
11HC04,The Reikeiden Consort's villa,The Reikeiden Consort's villa
12SM01,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
12SM02,The Minister of the Left's residence (Sanjō),The Minister of the Left's residence (Sanjō)
12SM03,Nijō (Genji's villa),Nijō (Genji's villa)
12SM04,Nijō (Genji's villa),Nijō (Genji's villa)
12SM05,The Reikeiden Consort's villa (Hanachirusato's quarters),The Reikeiden Consort's villa (Hanachirusato's quarters)
12SM06,The Reikeiden Consort's villa (Hanachirusato's quarters),The Reikeiden Consort's villa (Hanachirusato's quarters)
12SM07,Nijō (Genji's villa),Indeterminate (text does not specify)
12SM08,Indeterminate (text does not specify),Nijō (Genji's villa)
12SM09,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
12SM10,Fujitsubo's family residence on Sanjō,Fujitsubo's family residence on Sanjō
12SM11,The road by the Lower Kamo Shrine,The road by the Lower Kamo Shrine
12SM12,The Kamo Shrine (Tadasu Woods),The Kamo Shrine (Tadasu Woods)
12SM13,The Retired Emperor's tomb (hills north of the capital),The Retired Emperor's tomb (hills north of the capital)
12SM14,Nijō (Genji's villa),The Crown Prince's quarters at the palace
12SM15,The Crown Prince's quarters at the palace,Nijō (Genji's villa)
12SM16,Nijō (Genji's villa),Nijō (Genji's villa)
12SM17,Nijō (Genji's villa),Nijō (Genji's villa)
12SM18,"On the journey to Suma (the ruined Ōe villa, Yodo River)","On the journey to Suma (the ruined Ōe villa, Yodo River)"
12SM19,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM20,Suma (Genji's villa in exile),Fujitsubo's family residence on Sanjō
12SM21,Suma (Genji's villa in exile),Indeterminate (text does not specify)
12SM22,Fujitsubo's family residence on Sanjō,Suma (Genji's villa in exile)
12SM23,Indeterminate (text does not specify),Suma (Genji's villa in exile)
12SM24,Nijō (Genji's villa),Suma (Genji's villa in exile)
12SM25,The Ise Shrine,Suma (Genji's villa in exile)
12SM26,The Ise Shrine,Suma (Genji's villa in exile)
12SM27,Suma (Genji's villa in exile),The Ise Shrine
12SM28,Suma (Genji's villa in exile),The Ise Shrine
12SM29,The Reikeiden Consort's villa (Hanachirusato's quarters),Suma (Genji's villa in exile)
12SM30,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM31,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM32,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM33,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM34,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM35,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM36,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM37,The Gosechi dancer's barge (passing Suma),Suma (Genji's villa in exile)
12SM38,Suma (Genji's villa in exile),The Gosechi dancer's barge (passing Suma)
12SM39,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM40,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM41,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM42,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM43,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM44,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM45,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM46,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
12SM47,The shore at Suma (the purification site),The shore at Suma (the purification site)
12SM48,The shore at Suma (the purification site),The shore at Suma (the purification site)
13AK01,Nijō (Genji's villa),Suma (Genji's villa in exile)
13AK02,Suma (Genji's villa in exile),Suma (Genji's villa in exile)
13AK03,The Akashi villa (Genji's seaside residence),Nijō (Genji's villa)
13AK04,The Akashi villa (Genji's seaside residence),The Akashi villa (Genji's seaside residence)
13AK05,The Akashi villa (Genji's seaside residence),The Akashi villa (Genji's seaside residence)
13AK06,The Akashi villa (Genji's seaside residence),The Akashi villa (Genji's seaside residence)
13AK07,The Akashi villa (Genji's seaside residence),The Akashi Lady's villa (foot of the hills)
13AK08,The Akashi Lady's villa (foot of the hills),The Akashi villa (Genji's seaside residence)
13AK09,The Akashi villa (Genji's seaside residence),The Akashi Lady's villa (foot of the hills)
13AK10,The Akashi Lady's villa (foot of the hills),The Akashi villa (Genji's seaside residence)
13AK11,The road at Akashi (en route to the Lady's villa),The road at Akashi (en route to the Lady's villa)
13AK12,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills)
13AK13,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills)
13AK14,The Akashi villa (Genji's seaside residence),Nijō (Genji's villa)
13AK15,Nijō (Genji's villa),The Akashi villa (Genji's seaside residence)
13AK16,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills)
13AK17,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills)
13AK18,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills)
13AK19,The Akashi Lady's villa (foot of the hills),The Akashi Lady's villa (foot of the hills)
13AK20,Akashi (Genji's departure for the capital),The Akashi Lady's villa (foot of the hills)
13AK21,The Akashi Lady's villa (foot of the hills),Akashi (Genji's departure for the capital)
13AK22,The Akashi Lady's villa (foot of the hills),Akashi (Genji's departure for the capital)
13AK23,Akashi (Genji's departure for the capital),The Akashi Lady's villa (foot of the hills)
13AK24,Akashi (Genji's departure for the capital),Akashi (Genji's departure for the capital)
13AK25,Akashi (Genji's departure for the capital),Akashi (Genji's departure for the capital)
13AK26,The palace (Genji's audience with Suzaku),The palace (Genji's audience with Suzaku)
13AK27,The palace (Genji's audience with Suzaku),The palace (Genji's audience with Suzaku)
13AK28,Nijō (Genji's villa),The Akashi Lady's villa (foot of the hills)
13AK29,Indeterminate (text does not specify),Nijō (Genji's villa)
13AK30,Nijō (Genji's villa),Indeterminate (text does not specify)
06ST01,The Hitachi villa,The Hitachi villa
06ST02,The Hitachi villa,The Hitachi villa
06ST03,The Hitachi villa,The Hitachi villa
06ST04,The Hitachi villa,The Hitachi villa
06ST05,The Hitachi villa,The Hitachi villa
06ST06,The Kiritsubo,The Hitachi villa
06ST07,The Hitachi villa,The Kiritsubo
06ST08,The Hitachi villa,The Hitachi villa
06ST09,The Hitachi villa,The Hitachi villa
06ST10,The Hitachi villa,The Kiritsubo
06ST11,The Kiritsubo,The Kiritsubo
06ST12,The Kiritsubo,The Kiritsubo
06ST13,The Kiritsubo,The Hitachi villa
06ST14,Nijō (Genji's villa),Nijō (Genji's villa)
